"mProtein","dProtein"
"Q9NVF7","Q08379"
"Q13671","Q08379"
"Q9BQ89","Q08379"
"D3DUQ6","Q08379"
"Q8NHY3","Q08379"
"Q9UHB7","Q08379"
"Q13094","Q08379"
"Q9HB19","Q08379"
"O15169","Q08379"
"Q96RK0","Q08379"
"Q9NRL3","Q08379"
"Q86YP4","Q08379"
"Q3SY00","Q08379"
"Q9UK41","Q08379"
"Q7L5A3","Q08379"
"Q0P5N6","Q08379"
"Q6BCY4","Q08379"
"G3V1X1","Q08379"
"P31040","Q00341"
"P03372","Q00341"
"Q8IVT5","Q00341"
"P08559","Q00341"
"P49711","Q00341"
